categoria,sku,slug,nombre,marca,descripcion_corta,precio,precio_antes,disponibilidad,garantia_meses,destacado,activo,categorias,medida,potencia_rms_w,impedancia_ohm,bobinas,profundidad_mm,sensibilidad_db,configuracion,canales,clase,formato,pantalla_pulg,carplay,android_auto,salidas_preamp_pares,salidas_preamp_voltaje,tipo_ecualizador,bandas,espesor_mm,cobertura_m2,material_insono,calibre_awg,material_conductor,capacidad_w,tipo_accesorio,longitud_m,spec_1_etiqueta,spec_1_valor,spec_2_etiqueta,spec_2_valor,spec_3_etiqueta,spec_3_valor,spec_4_etiqueta,spec_4_valor,spec_5_etiqueta,spec_5_valor,spec_6_etiqueta,spec_6_valor,spec_7_etiqueta,spec_7_valor,spec_8_etiqueta,spec_8_valor,spec_9_etiqueta,spec_9_valor,spec_10_etiqueta,spec_10_valor
Amplificadores,R2-300X4,rockford-fosgate-r2-300x4,Amplificador Prime de 5 canales R2-300X4,Rockford Fosgate,"Amplificador de 4 canales para bocinas, puenteable a dos canales",3000,,disponible,,VERDADERO,VERDADERO,,,300,,,,,,4,D,,,,,,,,,,,,,,,,,Potencia RMS,50 W × 4 @ 4 Ω · 75 W × 4 @ 2 Ω · 150 W × 2 @ 4 Ω puenteado,Potencia total,300 W,Crossover,"Butterworth 12 dB/oct, 50 – 250 Hz LP/AP/HP",Punch EQ,No,Relación señal/ruido,> 70 dB,Voltaje de operación,9 – 16 V CC,Fusible recomendado,60 A,Dimensiones,255 × 173 × 49 mm,,,,
Amplificadores,R2-500X1,rockford-fosgate-r2-500x1,Amplificador Prime monoblock R2-500X1,Rockford Fosgate,Amplificador monoblock clase D para subwoofer,3400,,disponible,,FALSO,VERDADERO,,,500,,,,,,1,D,,,,,,,,,,,,,,,,,Potencia RMS,300 W @ 4 Ω · 500 W @ 2 Ω,Potencia total,500 W,Crossover,24 dB/oct pasa bajos 50 – 250 Hz · Infrasónico 15 – 40 Hz,Punch EQ,0 a +18 dB @ 45 Hz,Relación señal/ruido,> 75 dB,Voltaje de operación,9 – 16 V CC,Fusible recomendado,80 A,Dimensiones,215 × 173 × 49 mm,,,,
Amplificadores,R2-500X4,rockford-fosgate-r2-500x4,Amplificador Prime de 5 canales R2-500X4,Rockford Fosgate,"Amplificador de 4 canales para bocinas, puenteable a dos canales",4200,,disponible,,FALSO,VERDADERO,,,500,,,,,,4,D,,,,,,,,,,,,,,,,,Potencia RMS,75 W × 4 @ 4 Ω · 125 W × 4 @ 2 Ω · 250 W × 2 @ 4 Ω puenteado,Potencia total,500 W,Crossover,"Butterworth 12 dB/oct, 50 – 250 Hz LP/AP/HP",Punch EQ,No,Relación señal/ruido,> 80 dB,Voltaje de operación,9 – 16 V CC,Fusible recomendado,80 A,Dimensiones,255 × 173 × 49 mm,,,,
Amplificadores,R2-750X1,rockford-fosgate-r2-750x1,Amplificador Prime monoblock R2-750X1,Rockford Fosgate,Amplificador monoblock clase D para subwoofer,5400,,disponible,,FALSO,VERDADERO,,,750,,,,,,1,D,,,,,,,,,,,,,,,,,Potencia RMS,250 W @ 4 Ω · 500 W @ 2 Ω · 750 W @ 1 Ω,Potencia total,750 W,Crossover,24 dB/oct pasa bajos 50 – 250 Hz · Infrasónico 15 – 40 Hz,Punch EQ,0 a +18 dB @ 45 Hz,Relación señal/ruido,> 70 dB,Voltaje de operación,9 – 16 V CC,Fusible recomendado,120 A,Dimensiones,255 × 173 × 49 mm,,,,
Amplificadores,R2-750X5,rockford-fosgate-r2-750x5,Amplificador Prime de 5 canales R2-750X5,Rockford Fosgate,Amplificador de 5 canales para sistema completo con subwoofer,6000,,disponible,,FALSO,VERDADERO,,,750,,,,,,5,D,,,,,,,,,,,,,,,,,Potencia RMS,50 W × 4 @ 4 Ω · 100 W × 4 @ 2 Ω · Sub 200 W @ 4 Ω · Sub 350 W @ 2 Ω,Potencia total,750 W,Crossover,"Butterworth 12 dB/oct, 50 – 250 Hz LP/AP/HP",Punch EQ,"Solo canal mono, 0 a +18 dB @ 45 Hz",Relación señal/ruido,Frente/atrás > 80 dB · Sub > 75 dB,Voltaje de operación,9 – 16 V CC,Fusible recomendado,120 A,Dimensiones,285 × 173 × 49 mm,,,,
Amplificadores,SDR-1200.1,kbt-sdr-1200-1,Amplificador Soldier monoblock SDR-1200.1,KBT,Amplificador monoblock clase D con 600 W RMS a 1 ohm,1600,,disponible,,VERDADERO,VERDADERO,,,600,,,,,,1,D,,,,,,,,,,,,,,,,,Potencia RMS,600 W @ 1 Ω · 300 W @ 2 Ω · 150 W @ 4 Ω,Potencia máxima,"1,200 W",Filtros,Pasa bajos 40 – 180 Hz · Pasa altos 50 Hz – 2 kHz,Respuesta en frecuencia,20 Hz – 20 kHz,Distorsión armónica (THD),0.05 %,Relación señal/ruido,Mayor a 85 dB,Voltaje de operación,"9 – 16 V, sensibilidad de entrada 0.2 – 6 V",Dimensiones,300 × 200 × 25 mm,,,,
Amplificadores,SDR-1800.2,kbt-sdr-1800-2,"Amplificador Soldier de 2 canales SDR-1800.2 ",KBT,Amplificador de 2 canales clase AB con 90 W RMS por canal a 2 ohm,950,,disponible,,FALSO,VERDADERO,,,90,,,,,,2,AB,,,,,,,,,,,,,,,,,Potencia RMS,90 W × 2 @ 2 Ω · 60 W × 2 @ 4 Ω,Puenteado,180 W × 1 @ 4 Ω,Potencia máxima,"1,800 W",Filtros,Pasa bajos 50 – 500 Hz · Pasa altos 10 Hz – 30 kHz,Refuerzo de graves,"0, 6 o 12 dB",Respuesta en frecuencia,10 Hz – 36 kHz,Distorsión armónica (THD),0.05 %,Dimensiones,"200 × 180 × 51 mm, sensibilidad de entrada 0.2 – 6 V",,,,
Amplificadores,SDR-3600.4,kbt-sdr-3600-4,Amplificador Soldier de 4 canales SDR-3600.4,KBT,Amplificador de 4 canales clase AB con 90 W RMS por canal a 2 ohm,1150,,disponible,,VERDADERO,VERDADERO,,,90,,,,,,4,AB,,,,,,,,,,,,,,,,,Potencia RMS,90 W × 4 @ 2 Ω · 60 W × 4 @ 4 Ω,Puenteado,180 W × 2 @ 4 Ω,Potencia máxima,"3,600 W",Filtros,Pasa bajos 40 – 180 Hz · Pasa altos 50 Hz – 2 kHz,Refuerzo de graves,"0, 6 o 12 dB",Respuesta en frecuencia,20 Hz – 20 kHz,Relación señal/ruido,"Mayor a 85 dB, THD 0.05 %",Dimensiones,"300 × 200 × 25 mm, voltaje de operación 9 – 16 V",,,,
Amplificadores,SDR-3600.5,kbt-sdr-3600-5,Amplificador Soldier de 5 canales SDR-3600.5,KBT,Amplificador de 5 canales para sistema completo con subwoofer,1800,,disponible,,FALSO,VERDADERO,,,1800,,,,,,5,D,,,,,,,,,,,,,,,,,Potencia máxima,"3,600 W",Protecciones,"Térmica, bajo voltaje y cortocircuito",Línea,Soldier,Aplicación,Sistema completo: cuatro bocinas más un subwoofer con un solo equipo,Voltaje de operación,9 – 16 V,,,,,,,,,,
Amplificadores,SRX300.1V,memphis-srx300-1v,Amplificador Street Reference monoblock SRX300.1V,Memphis,Amplificador monoblock de 300 W a 2 ohm para subwoofer,2000,,disponible,,FALSO,VERDADERO,,,300,,,,,,1,D,,,,,,,,,,,,,,,,,Potencia RMS,300 W @ 2 Ω,Impedancia mínima,2 Ω,Serie,Street Reference,Aplicación,Alimentar un subwoofer en sistemas de entrada o rango medio,Kit recomendado,8GKIT,Control,Mando de graves incluido,,,,,,,,
Amplificadores,SRX300.4V,memphis-srx300-4v,Amplificador Street Reference de 4 canales SRX300.4V,Memphis,"Amplificador de 4 canales para bocinas, puenteable a dos canales",2600,,disponible,,VERDADERO,VERDADERO,,,300,,,,,,4,D,,,,,,,,,,,,,,,,,Potencia RMS,50 W × 4 @ 4 Ω · 75 W × 4 @ 2 Ω,Puenteado,150 W × 2 @ 4 Ω,Filtro pasa altos,"Variable de 50 a 1,000 Hz",Filtro pasa bajos,Variable de 50 a 250 Hz,Refuerzo de graves,"Seleccionable 0, +6 o +12 dB a 45 Hz",Entradas,"Alto y bajo nivel, compatible con radio original",Protección,Cortocircuito y térmica,Acabado,Iluminación LED naranja de acento,,,,
Amplificadores,SRX600.1V,memphis-srx600-1v,Amplificador Street Reference monoblock SRX600.1V,Memphis,Amplificador monoblock clase D para subwoofer,2600,,disponible,,VERDADERO,VERDADERO,,,600,,,,,,1,D,,,,,,,,,,,,,,,,,Potencia RMS,300 W @ 4 Ω · 500 W @ 2 Ω · 600 W @ 1 Ω,Impedancia mínima,1 Ω,Distorsión armónica (THD),Menor a 1 % a 4 Ω,Respuesta en frecuencia,17 Hz – 250 Hz,Filtros,Pasa bajos variable y subsónico variable,Refuerzo de graves,"Seleccionable 0, +3 o +6 dB a 45 Hz",Incluye,Control remoto de nivel de graves,Dimensiones,"8.92"" × 7.87"" × 2.16"" (227 × 200 × 55 mm)",,,,
Amplificadores,TNT-1200.4,kbt-tnt-1200-4,Amplificador Lieutenant de 4 canales TNT-1200.4,KBT,Amplificador de 4 canales de la línea Lieutenant para bocinas,1750,,disponible,,FALSO,VERDADERO,,,600,,,,,,4,AB,,,,,,,,,,,,,,,,,Potencia máxima,"1,200 W",Protecciones,"Térmica, bajo voltaje y cortocircuito",Línea,Lieutenant,Aplicación,Bocinas de puerta y componentes,,,,,,,,,,,,
Amplificadores,TNT-1600.1,kbt-tnt-1600-1,Amplificador Lieutenant monoblock TNT-1600.1,KBT,Amplificador monoblock clase D de la línea Lieutenant para subwoofer,1650,,disponible,,FALSO,VERDADERO,,,800,,,,,,1,D,,,,,,,,,,,,,,,,,Potencia máxima,"1,600 W",Línea,Lieutenant,Aplicación,Alimentar un subwoofer,Protecciones,"Térmica, bajo voltaje y cortocircuito",,,,,,,,,,,,
Amplificadores,TNT-1600.4,kbt-tnt-1600-4,Amplificador Lieutenant de 4 canales TNT-1600.4,KBT,Amplificador de 4 canales de la línea Lieutenant para bocinas,2000,,disponible,,VERDADERO,VERDADERO,,,800,,,,,,4,AB,,,,,,,,,,,,,,,,,Potencia máxima,"1,600 W",Protecciones,"Térmica, bajo voltaje y cortocircuito",Línea,Lieutenant,Aplicación,Bocinas de puerta y componentes,,,,,,,,,,,,
Amplificadores,TNT-3000.1,kbt-tnt-3000-1,Amplificador Lieutenant monoblock TNT-3000.1,KBT,Amplificador monoblock clase D de la línea Lieutenant para subwoofer,2200,,disponible,,VERDADERO,VERDADERO,,,1500,,,,,,1,D,,,,,,,,,,,,,,,,,Potencia máxima,"3,000 W",Línea,Lieutenant,Aplicación,Alimentar uno o más subwoofers,Protecciones,"Térmica, bajo voltaje y cortocircuito",,,,,,,,,,,,
Amplificadores,VIV1100.1V2,memphis-viv1100-1v2,Amplificador VIV monoblock VIV1100.2,Memphis,Amplificador monoblock clase D para subwoofer,7000,,disponible,,FALSO,VERDADERO,,,1100,,,,,,1,D,,,,,,,,,,,,,,,,,Potencia RMS,"1,100 W @ 1 Ω",Impedancia mínima,1 Ω,Procesamiento,DSP con pendientes de crossover de 48 dB/oct (solo pasa bajos),Refuerzo de graves,"Hasta 18 dB con M-Equalization ajustable en nivel, frecuencia y Q",Control remoto,Opcional inalámbrico VIVREMV2,Acabado,Aluminio anodizado cepillado gunmetal con LED de 7 colores seleccionables,Serie,SixFive V2,,,,,,
Amplificadores,VIV400.4V2,memphis-viv400-4v2,Amplificador VIV de 4 canales VIV400.4V2,Memphis,"Amplificador de 4 canales para bocinas, puenteable a dos canales",5500,,disponible,,VERDADERO,VERDADERO,,,400,,,,,,4,D,,,,,,,,,,,,,,,,,Potencia RMS,100 W × 4 @ 2 Ω,Impedancia mínima,"2 Ω en estéreo, 4 Ω puenteado",Procesamiento,DSP con pendientes de crossover de 24 dB/oct,Filtros,"Pasa altos y pasa bajos en todos los canales, con pasa banda en dos canales",Refuerzo de graves,Hasta 18 dB,Acabado,Aluminio anodizado cepillado gunmetal con LED de 7 colores seleccionables,Serie,SixFive V2,,,,,,
Amplificadores,VIV600.4V2,memphis-viv600-4v2,Amplificador VIV de 4 canales VIV600.4V2,Memphis,"Amplificador de 4 canales para bocinas, puenteable a dos canales",7100,,disponible,,FALSO,VERDADERO,,,600,,,,,,4,D,,,,,,,,,,,,,,,,,Potencia RMS,80 W × 4 @ 4 Ω · 150 W × 4 @ 2 Ω,Puenteado,300 W × 2 @ 4 Ω,Procesamiento,DSP con pendientes de crossover de 24 dB/oct,Filtros,"Pasa altos y pasa bajos en todos los canales, con pasa banda en dos canales",Refuerzo de graves,Hasta 18 dB,Acabado,Aluminio anodizado cepillado gunmetal con LED de 7 colores seleccionables,Serie,SixFive V2,,,,,,
Amplificadores,VIV750.6V2,memphis-viv750-6v2,Amplificador VIV de 6 canales VIV750.6V2,Memphis,Amplificador de 6 canales para sistema multicanal,8500,,disponible,,FALSO,VERDADERO,,,750,,,,,,6,D,,,,,,,,,,,,,,,,,Potencia RMS,125 W × 6 @ 2 Ω,Impedancia mínima,2 Ω en estéreo,Procesamiento,DSP con pendientes de crossover de 24 dB/oct,Filtros,"Pasa altos y pasa bajos en todos los canales, con pasa banda en dos canales",Refuerzo de graves,Hasta 18 dB,Acabado,Aluminio anodizado cepillado gunmetal con LED de 7 colores seleccionables,Serie,SixFive V2,,,,,,
Bocinas,165 AC,focal-165-ac,"Bocinas coaxiales de 6.5"" Access 165 AC",Focal,Par de bocinas coaxiales de 6.5 pulgadas de 2 vías,1650,,disponible,,VERDADERO,VERDADERO,,"6.5""",60,4,,63,91,coaxial-2v,,,,,,,,,,,,,,,,,,,Potencia máxima,120 W,Respuesta en frecuencia,60 Hz – 20 kHz,Tweeter,Domo invertido de aluminio sobre montaje giratorio e inclinable,Membrana,DFS de fibra de vidrio con suspensión de butilo,,,,,,,,,,,,
Bocinas,165 AS,focal-165-as,"Componente Access de 6.5"" 165 AS",Focal,Juego de componentes de 6.5 pulgadas de 2 vías con crossover pasivo,2200,,disponible,,FALSO,VERDADERO,,"6.5""",60,4,,,91,componentes-2v,,,,,,,,,,,,,,,,,,,Potencia máxima,120 W,Respuesta en frecuencia,60 Hz – 20 kHz,Tweeter,"Domo invertido de aluminio, nivel ajustable en 3 posiciones (−3 / 0 / +3 dB)",Membrana,DFS de fibra de vidrio con suspensión de butilo,Bobina,"Doble capa de 25 mm (1"") sobre soporte Kapton",,,,,,,,,,
Bocinas,165 AS3,focal-165-as3,"Componente Access de 6.5"" 165 AS3",Focal,Juego de componentes de 6.5 pulgadas de 3 vías con crossover pasivo,3300,,disponible,,FALSO,VERDADERO,,"6.5""",80,4,,63,90,componentes-3v,,,,,,,,,,,,,,,,,,,Potencia máxima,160 W,Respuesta en frecuencia,55 Hz – 20 kHz (±3 dB),Tweeter,"Domo invertido de aluminio TN43, nivel ajustable en 3 posiciones",Membrana,DFS de fibra de vidrio con suspensión de butilo,,,,,,,,,,,,
Bocinas,ACX 100,focal-acx-100,"Bocinas coaxiales Auditor de 4"" ACX 100",Focal,Par de bocinas coaxiales de 4 pulgadas de 2 vías,800,,disponible,,FALSO,VERDADERO,,"4""",30,4,,48,88,coaxial-2v,,,,,,,,,,,,,,,,,,,Potencia máxima,60 W,Respuesta en frecuencia,80 Hz – 21 kHz,Tweeter,Domo invertido de mylar,Membrana,Polipropileno con suspensión de butilo y motor de ferrita,,,,,,,,,,,,
Bocinas,ACX 130,focal-acx-130,"Bocinas coaxiales Auditor de 5.25"" ACX 130",Focal,Par de bocinas coaxiales de 5.25 pulgadas de 2 vías,950,,disponible,,FALSO,VERDADERO,,"5.25""",50,4,,55,90,coaxial-2v,,,,,,,,,,,,,,,,,,,Potencia máxima,100 W,Respuesta en frecuencia,65 Hz – 21 kHz,Tweeter,Domo invertido de mylar,Membrana,Polipropileno con suspensión de butilo y motor de ferrita,,,,,,,,,,,,
Bocinas,ACX 165,focal-acx-165,"Bocinas coaxiales Auditor de 6.5"" ACX 165",Focal,Par de bocinas coaxiales de 6.5 pulgadas de 2 vías,950,,disponible,,VERDADERO,VERDADERO,,"6.5""",60,4,,,91.5,coaxial-2v,,,,,,,,,,,,,,,,,,,Potencia máxima,120 W,Respuesta en frecuencia,60 Hz – 21 kHz (±3 dB),Tweeter,Domo invertido de mylar,Membrana,Polipropileno con suspensión de butilo y motor de ferrita,Incluye,Rejillas de ABS y de malla,,,,,,,,,,
Bocinas,ASE 165,focal-ase-165,"Componente Auditor de 6.5"" ASE 165",Focal,Juego de componentes de 6.5 pulgadas con tweeter de montaje ajustable,1250,,disponible,,FALSO,VERDADERO,,"6.5""",60,4,,62,91.5,componentes-2v,,,,,,,,,,,,,,,,,,,Potencia máxima,120 W,Respuesta en frecuencia,60 Hz – 21 kHz,Tweeter,Domo invertido de mylar,Membrana,Polipropileno con suspensión de butilo y motor de ferrita,,,,,,,,,,,,
Bocinas,CANAMX365FE,memphis-canamx365fe,Pods delanteros para Can-Am X3,Memphis,Par de pods delanteros de ajuste directo para Can-Am X3 2017 y posteriores,25400,,disponible,,FALSO,VERDADERO,,"6.5""",75,4,,,,coaxial-2v,,,,,,,,,,,,,,,,,,,Ajuste,"Directo, sin fabricación",Tipo,Pods de bocina de ajuste directo OEM,Aplicación,Can-Am X3 modelos 2017 y posteriores,Ubicación,Posición delantera,Instalación,"Ajuste directo, no requiere fabricación ni modificación del vehículo",Presentación,Par de pods,,,,,,,,
Bocinas,CLUB 6520,jbl-club-6520,"Bocinas coaxiales Club de 6.5"" CLUB 6520 ",JBL,Par de bocinas coaxiales de 6.5 pulgadas de 2 vías,750,,disponible,,VERDADERO,VERDADERO,,"6.5""",50,3,,,92,coaxial-2v,,,,,,,,,,,,,,,,,,,Potencia máxima,150 W,Respuesta en frecuencia,55 Hz – 20 kHz,Cono,Polipropileno con arquitectura Plus One,Tweeter,Domo balanceado de PEI de accionamiento perimetral,Contenido,Par de bocinas con rejillas y herrajes,,,,,,,,,,
Bocinas,CPT-165,kbt-cpt-165,"Bocinas coaxiales Captain de 6.5"" CPT-165",KBT,Par de bocinas de 6.5 pulgadas de la línea Captain,800,,disponible,,FALSO,VERDADERO,,"6.5""",75,4,,,,coaxial-2v,,,,,,,,,,,,,,,,,,,Línea,Captain,,,,,,,,,,,,,,,,,,
Bocinas,CPT-BLT1,kbt-cpt-blt1,Tweeter de punta de bala de 40 mm CPT-BLT1,KBT,"Tweeter tipo bala de diafragma de aluminio, 60 W RMS y 103 dB de sensibilidad",400,,disponible,,FALSO,VERDADERO,,40 mm,60,4,,,103,tweeter,,,,,,,,,,,,,,,,,,,Potencia máxima,120 W,Respuesta en frecuencia,3 kHz – 20 kHz,Diafragma,Aluminio,Aplicación,"Sistemas de alta presión sonora, se combina con bocinas de medio rango",,,,,,,,,,,,
Bocinas,CPT-FR65AW,kbt-cpt-fr65aw,"Bocinas rango completo Captain de 6.5"" CPT-FR65AW",KBT,Bocina de rango completo de 6.5 pulgadas resistente al agua de la línea Captain,1850,,disponible,,FALSO,VERDADERO,,"6.5""",75,4,,,,coaxial-2v,,,,,,,,,,,,,,,,,,,Resistencia,Construcción resistente al agua (all weather),Línea,Captain,Aplicación,"Carenados de moto, side-by-side y uso marino",,,,,,,,,,,,,,
Bocinas,CPT-MR65,kbt-cpt-mr65,"Bocinas rango medio Captain de 6.5"" CPT-MR65",KBT,Bocina de medio rango de 6.5 pulgadas de la línea Captain para alta presión sonora,900,,disponible,,FALSO,VERDADERO,,"6.5""",125,4,,,,medio-rango,,,,,,,,,,,,,,,,,,,Línea,Captain,Aplicación,"Sistemas de alta presión sonora, se combina con tweeters tipo bala",,,,,,,,,,,,,,,,
Bocinas,CVP65,cerwin-vega-cvp65,"Bocinas de medio rango CVP de 6.5"" CVP65",Cerwin Vega,Bocina de medio rango de 6.5 pulgadas para sistemas de alta presión sonora,700,,disponible,,FALSO,VERDADERO,,"6.5""",150,4,,,93,medio-rango,,,,,,,,,,,,,,,,,,,Potencia máxima,300 W,Cono,Papel tratado,Aplicación,"Alta presión sonora en autos, motocicletas e instalaciones personalizadas",Presentación,Unidad individual,,,,,,,,,,,,
Bocinas,CVP69,cerwin-vega-cvp69,"Bocinas de medio rango CVP de 6x9"" CVP69",Cerwin Vega,Bocina de rango completo de 6x9 pulgadas para sistemas de alta presión sonora,750,,disponible,,FALSO,VERDADERO,,"6x9""",150,4,,,94,medio-rango,,,,,,,,,,,,,,,,,,,Potencia máxima,300 W,Cono,Papel tratado,Bobina,"1.5"" de una capa, alta temperatura",Imán,20 oz,Canasta,Acero estampado de servicio pesado,,,,,,,,,,
Bocinas,CVP8,cerwin-vega-cvp8,"Bocinas de medio rango CVP de 8"" CVP8",Cerwin Vega,Bocina de rango completo de 8 pulgadas para sistemas de alta presión sonora,750,,disponible,,FALSO,VERDADERO,,"8""",170,4,,,95,medio-rango,,,,,,,,,,,,,,,,,,,Potencia máxima,350 W,Cono,Papel tratado,Aplicación,"Alta presión sonora en autos, motocicletas e instalaciones personalizadas",Presentación,Unidad individual,,,,,,,,,,,,
Bocinas,CVPX1,cerwin-vega-cvpx1,"Tweeter de bocina CVPX de 1"" CVPX1",Cerwin Vega,Tweeter de bocina de 1 pulgada con diafragma reemplazable y crossover incluido,400,,disponible,,VERDADERO,VERDADERO,,"1""",30,4,,32,96,tweeter,,,,,,,,,,,,,,,,,,,Potencia máxima,60 W,Incluye,Crossover,Presentación,Unidad individual,,,,,,,,,,,,,,
Bocinas,CVPX69,cerwin-vega-cvpx69,"Bocinas CVPX de 6x9"" CVPX69",Cerwin Vega,Bocina de rango completo de 6x9 pulgadas de 2 vías con tweeter de bocina,1100,,disponible,,FALSO,VERDADERO,,"6x9""",60,4,,103,92.1,tweeter,,,,,,,,,,,,,,,,,,,Potencia máxima,120 W,Respuesta en frecuencia,90 Hz – 20 kHz,Cono,Papel tratado con tweeter cargado,Diámetro de corte,220 × 150 mm,,,,,,,,,,,,
Bocinas,CVPX8,cerwin-vega-cvpx8,"Bocinas CVPX de 8"" CVPX8",Cerwin Vega,Par de bocinas de rango completo de 8 pulgadas de 2 vías con tweeter de bocina,1150,,disponible,,FALSO,VERDADERO,,"8""",100,4,,105,93.6,tweeter,,,,,,,,,,,,,,,,,,,Potencia máxima,200 W,Respuesta en frecuencia,105 Hz – 20 kHz,Cono,Papel tratado con tweeter cargado,Diámetro de corte,184 mm,,,,,,,,,,,,
Bocinas,HED65P,cerwin-vega-hed65p,"Bocinas de medio rango HED Pro 6.5"" HED65P",Cerwin Vega,Bocina de medio rango de 6.5 pulgadas con tapón de fase para alta presión sonora,700,,disponible,,FALSO,VERDADERO,,"6.5""",150,4,,,91,medio-rango,,,,,,,,,,,,,,,,,,,Potencia máxima,450 W,Cono,Papel tratado,Aplicación,Sistemas de competencia e instalaciones de alta eficiencia,Presentación,Unidad individual,,,,,,,,,,,,
Bocinas,HED69P,cerwin-vega-hed69p,"Bocinas de medio rango HED Pro de 6x9"" HED69P",Cerwin Vega,Bocina de medio rango de 6x9 pulgadas con diseño cargado por tapón de fase para alta presión sonora,750,,disponible,,FALSO,VERDADERO,,"6x9""",150,4,,,,medio-rango,,,,,,,,,,,,,,,,,,,Potencia máxima,450 W,Cono,Papel tratado,,,,,,,,,,,,,,,,
Bocinas,HED8P,cerwin-vega-hed8p,"Bocinas de medio rango HED Pro de 8"" HED8P",Cerwin Vega,Bocina de medio rango de 8 pulgadas con diseño cargado por tapón de fase para alta presión sonora,750,,disponible,,FALSO,VERDADERO,,"8""",170,4,,,,medio-rango,,,,,,,,,,,,,,,,,,,Potencia máxima,510 W,Cono,Papel tratado,,,,,,,,,,,,,,,,
Bocinas,HEDPS65,cerwin-vega-hedps65,"Bocinas coaxiales HED Pro Style de 6.5"" HEDPS65",Cerwin Vega,Bocina de medio rango de 6.5 pulgadas estilo pro para alta presión sonora,1050,,disponible,,VERDADERO,VERDADERO,,"6.5""",120,4,,,,coaxial-2v,,,,,,,,,,,,,,,,,,,Potencia máxima,360 W,Cono,Papel tratado,,,,,,,,,,,,,,,,
Bocinas,HEDPS69,cerwin-vega-hedps69,"Bocinas coaxiales HED Pro Style de 6x9"" HEDPS69",Cerwin Vega,Bocina de medio rango de 6x9 pulgadas estilo pro para alta presión sonora,1100,,disponible,,VERDADERO,VERDADERO,,"6x9""",160,4,,,,coaxial-2v,,,,,,,,,,,,,,,,,,,Potencia máxima,480 W,Cono,Papel tratado,,,,,,,,,,,,,,,,
Bocinas,KBT-110,kbt-kbt-110,Tweeter de 50 mm KBT-110,KBT,"Tweeter de 50 mm con cono de aluminio, 50 W RMS y 100 dB de sensibilidad",400,,disponible,,VERDADERO,VERDADERO,,50 mm,50,4,,,100,tweeter,,,,,,,,,,,,,,,,,,,Potencia máxima,500 W,Respuesta en frecuencia,"2,500 Hz – 20 kHz",Cono,Aluminio,Bobina,"CCAW de 1""",,,,,,,,,,,,
Bocinas,KBT-112,kbt-kbt-112,Tweeter de punta de bala de 44.4 mm KBT-112,KBT,"Tweeter tipo bala de diafragma de aluminio, 200W RMS y104 dB de sensibilidad",700,,disponible,,FALSO,VERDADERO,,44.4 mm,200,4,,,104,tweeter,,,,,,,,,,,,,,,,,,,Potencia máxima,800 W,Aplicación,Agregar altas frecuencias a un sistema con bocinas de rango medio,Respuesta en frecuencia,"2,000 Hz – 20 kHz",Diafragma,Película de titanio,Bobina,CCAW,,,,,,,,,,
Bocinas,KBT-S250,kbt-kbt-s250,Tweeter de 40 mm KBT-S250,KBT,Tweeter de 40 mm de alta sensibilidad con respuesta hasta 40 kHz,50,,disponible,,VERDADERO,VERDADERO,,40 mm,50,8,,,,tweeter,,,,,,,,,,,,,,,,,,,Potencia máxima,250 W,Respuesta en frecuencia,"6,000 Hz – 40 kHz",,,,,,,,,,,,,,,,
Bocinas,KNEO-100B,kbt-kneo-100b,"Tweeter neodimio de 1"" KNEO-100B",KBT,"Tweeter de neodimio con película de titanio, 40 W RMS y 100 dB de sensibilidad",400,,disponible,,FALSO,VERDADERO,,"1""",40,4,,,100,tweeter,,,,,,,,,,,,,,,,,,,Motor,Imán de neodimio,Potencia máxima,200 W,Respuesta en frecuencia,"2,500 Hz – 20 kHz",Diafragma,Película de titanio,Bobina,CCAW de alto tratamiento,,,,,,,,,,
Bocinas,KT-1A,kbt-kt-1a,"Tweeters de 1"" KT-1A",KBT,Par de tweeters de montaje en superficie para complementar el sistema de audio,350,,disponible,,FALSO,VERDADERO,,"1""",50,4,,,,tweeter,,,,,,,,,,,,,,,,,,,Montaje,En superficie,Aplicación,Agregar altas frecuencias a un sistema con bocinas de rango medio,Presentación,Par de tweeters,,,,,,,,,,,,,,
Bocinas,M0-65B,rockford-fosgate-m0-65b,"Bocinas coaxiales Marine de 6.5"" M0",Rockford Fosgate,Par de bocinas marinas coaxiales de 6.5 pulgadas,2000,,disponible,,FALSO,VERDADERO,,"6.5""",65,4,,,,coaxial-2v,,,,,,,,,,,,,,,,,,,Potencia máxima,250 W,Cono,Polipropileno mineralizado,Tweeter,"Domo de polímero de cristal líquido (LCP) de 1/2""",Protección ambiental,"Element Ready, marco 100 % estable a UV, motor encapsulado y conectores grado marino",Presentación,Par de bocinas en acabado negro con rejillas,,,,,,,,,,
Bocinas,M2-65B,rockford-fosgate-m2-65b,"Bocinas coaxiales Marine de 6.5"" M2",Rockford Fosgate,Par de bocinas marinas coaxiales de 6.5 pulgadas,6600,,disponible,,FALSO,VERDADERO,,"6.5""",150,4,,,,coaxial-2v,,,,,,,,,,,,,,,,,,,Potencia máxima,600 W,Cono,Polipropileno mineralizado,Tweeter,"Domo laminado PXNX de 1""",Iluminación,"Color Optix LED RGB, requiere controlador PMX-RGB y app RF Connect",Protección ambiental,"Element Ready con certificación IP67, resistente a agua, sal y rayos UV",Conexión,Conectores integrados Deutsch y Amphenol,,,,,,,,
